N° client;Client (automatique);Groupe (automatique);Date installation;N° de zone de lavage;Adresse (automatique);N° de routeur;Date dernière intervention;Produit lavant;Dilution lavant;Couleur buse lavant;Produit séchant;Dilution séchant;Couleur buse séchant;Autre produit lavant;Autre dilution lavant;Autre couleur buse lavant;Produit jantes;Dilution jantes;Produit lavant Zone 2;Dilution lavant Zone 2;Couleur buse lavant Zone 2;Produit séchant Zone 2;Dilution séchant Zone 2;Couleur buse séchant Zone 2;Autre produit lavant Zone 2;Autre dilution lavant Zone 2;Autre couleur buse lavant Zone 2;Produit lavant Zone 3;Dilution lavant Zone 3;Couleur buse lavant Zone 3;Produit séchant Zone 3;Dilution séchant Zone 3;Couleur buse séchant Zone 3;Produit lavant Zone 4;Dilution lavant Zone 4;Couleur buse lavant Zone 4;Produit séchant Zone 4;Dilution séchant Zone 4;Couleur buse séchant Zone 4;Produit lavant Zone 5;Dilution lavant Zone 5;Couleur buse lavant Zone 5;Produit séchant Zone 5;Dilution séchant Zone 5;Couleur buse séchant Zone 5;Option eau;Objet du mail;Titre du mail;Vérif statut du contrat (automatique);Explication du problème;Solution préconisée
1070805390;CASINO GARAGE;SEGOND AUTO;23.02.2023;1;06240 BEAUSOLEIL;Q221C2;09.10.2025;WNC 40 Nettoyant carrosserie 200L - 08904701;9,80%;Bleue;Auto-séchant prêt-à-l'emploi 200L - 0893025650;2,50%;Bleue turqoise;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Non;Rapports de consommation E-wash_1070805390_CASINO GARAGE;Rapports de consommation E-wash_1070805390_CASINO GARAGE;Ok;;
1070866213;CASINO GARAGE;SEGOND AUTO;23.02.2023;1;06240 BEAUSOLEIL;Q80043;09.10.2025;WNC 40 Nettoyant carrosserie 200L - 08904701;9,80%;Bleue;Auto-séchant prêt-à-l'emploi 200L - 0893025650;2,50%;Bleue turqoise;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Non;Rapports de consommation E-wash_1070866213_CASINO GARAGE;Rapports de consommation E-wash_1070866213_CASINO GARAGE;Ok;;
1070980064;STORE MONACO BRUSCHET;SITE UNIQUE;23.02.2023;1;98000 MONACO;Q221C3;09.10.2025;WNC 40 Nettoyant carrosserie 200L - 08904701;9,80%;Bleue;Auto-séchant prêt-à-l'emploi 200L - 0893025650;2,50%;Bleue turqoise;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Non;Rapport de consommation E-wash_1070980064_STORE MONACO BRUSCHET;Rapport de consommation E-wash_1070980064_STORE MONACO BRUSCHET;Ok;;
1070094027;SAPA;SEGOND AUTO;23.02.2023;2;06600 ANTIBES;Q80065 / Q2216B;09.10.2025;WNC 40 Nettoyant carrosserie 200L - 08904701;14,50%;Noire;Auto-séchant prêt-à-l'emploi 200L - 0893025650;4,30%;Orange;;;;;;WNC 50 Nettoyant carrosserie 200L - 08904711;;;Auto-séchant prêt-à-l'emploi 200L - 0893025650;3,40%;Jaune;;;;;;;;;;;;;;;;;;;;;;Non;Rapports de consommation E-wash_1070094027_SAPA;Rapports de consommation E-wash_1070094027_SAPA;Ok;;
1071216159;SOMODIA;0;28.02.2023;;1070737203;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Rapports de consommation E-wash_1071216159_SOMODIA;Rapports de consommation E-wash_1071216159_SOMODIA;Ok;;
1070867150;BAYERN AVENUE;SITE UNIQUE;01.03.2023;2;06250 MOUGINS;Q22174;09.10.2025;WNC 40 Nettoyant carrosserie 200L - 08904701;11,60%;Bleue;Auto-séchant prêt-à-l'emploi 200L - 0893025650;1,80%;Bleue turqoise;;;;;;WNC 40 Nettoyant carrosserie 200L - 08904701;11,60%;Bleue;Auto-séchant prêt-à-l'emploi 200L - 0893025650;1,80%;Bleue turqoise;;;;;;;;;;;;;;;;;;;;;;Non;Rapport de consommation E-wash_1070867150_BAYERN AVENUE;Rapport de consommation E-wash_1070867150_BAYERN AVENUE;Pas de rapport;;
1071010855;GGE MERCEDES TRAPPES;GGE;03.03.2023;1;78190 TRAPPES;Q90093;16.10.2025;WNC 40 Nettoyant carrosserie 200L - 08904701;10,40%;Blanche;Auto-séchant prêt-à-l'emploi 200L - 0893025650;2,50%;Bleue turqoise;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Non;Rapports de consommation E-wash_1071010855_GGE MERCEDES TRAPPES;Rapports de consommation E-wash_1071010855_GGE MERCEDES TRAPPES;Ok;;
1070749699;GGE MERCEDES MONTGERON;GGE;27.04.2023;1;91230 MONTGERON;Q221BA;17.10.2025;WNC 40 Nettoyant carrosserie 200L - 08904701;6,20%;Marron clair;Auto-séchant prêt-à-l'emploi 200L - 0893025650;4,39%;Orange;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Non;Rapports de consommation E-wash_1070749699_GGE MERCEDES MONTGERON;Rapports de consommation E-wash_1070749699_GGE MERCEDES MONTGERON;Ok;;
1070541875;GGE MERCEDES RAMBOUILLET;GGE;27.04.2023;1;78120 RAMBOUILLET;Q221C1;16.10.2025;WNC 40 Nettoyant carrosserie 200L - 08904701;9,80%;Bleue;Auto-séchant prêt-à-l'emploi 200L - 0893025650;2,50%;Bleue turqoise;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Non;Rapports de consommation E-wash_1070541875_GGE MERCEDES RAMBOUILLET;Rapports de consommation E-wash_1070541875_GGE MERCEDES RAMBOUILLET;Ok;;
1070606505;FG AUTOMOBILES;0;05.05.2023;; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Rapports de consommation E-wash_1070606505_FG AUTOMOBILES;Rapports de consommation E-wash_1070606505_FG AUTOMOBILES;Pas de rapport;;
1070227348;GCA BEGLES;0;23.05.2023;; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Rapports de consommation E-wash_1070227348_GCA BEGLES;Rapports de consommation E-wash_1070227348_GCA BEGLES;Pas de rapport;;
1070890518;JEANNIN AUTOMOBILES SENS;JEANNIN;08.06.2023;1;89100 SENS;Q221C7;27.05.2025;WNC 40 Nettoyant carrosserie 200L - 08904701;1,05%;Rose;Auto-séchant prêt-à-l'emploi 200L - 0893025650;0,60%;Rose;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Non;Rapports de consommation E-wash_1070890518_JEANNIN AUTOMOBILES SENS;Rapports de consommation E-wash_1070890518_JEANNIN AUTOMOBILES SENS;Ok;;
1070702325;TECMAT SERVICE;SITE UNIQUE;23.06.2023;1;69800 SAINT-PRIEST;Q221BC;24.09.2025;WNC 70 Nettoyant pour carrosserie 200L - 0893048200;3,90%;Jaune;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Non;Rapport de consommation E-wash_1070702325_TECMAT SERVICE;Rapport de consommation E-wash_1070702325_TECMAT SERVICE;Ok;;
1070342488;TECHSTAR POITIERS AUTOSPHÈRE;AUTOSPHERE;20.07.2023;1;86000 POITIERS;Q221B4;22.09.2025;WNC 40 Nettoyant carrosserie 200L - 08904701;10,40%;Blanche;Auto-séchant prêt-à-l'emploi 200L - 0893025650;2,50%;Turquoise;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Non;Rapports de consommation E-wash_1070342488_TECHSTAR POITIERS AUTOSPHÈRE;Rapports de consommation E-wash_1070342488_TECHSTAR POITIERS AUTOSPHÈRE;Ok;;
1070860704;INTENZ POITOU AUTOSPHÈRE;AUTOSPHERE;20.07.2023;1;86000 POITIERS;Q221B9;18.11.2025;WNC 40 Nettoyant carrosserie 200L - 08904701;10,40%;Blanche;Auto-séchant prêt-à-l'emploi 200L - 0893025650;2,50%;Turquoise;;;;Nettoyant jantes purple 200L - 0893477009;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Non;Rapports de consommation E-wash_1070860704_INTENZ POITOU AUTOSPHÈRE;Rapports de consommation E-wash_1070860704_INTENZ POITOU AUTOSPHÈRE;Ok;;
1070747601;ARAVIS ROSSI AUTO;SITE UNIQUE;18.10.2023;; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Rapport de consommation E-wash_1070747601_ARAVIS ROSSI AUTO;Rapport de consommation E-wash_1070747601_ARAVIS ROSSI AUTO;Pas de rapport;;
1070133631;ALTIS VANNES;SITE UNIQUE;23.10.2023;1;56000 VANNES;Q221BF;01.10.2025;WNC 40 Nettoyant carrosserie 200L - 08904701;9,80%;Marron;Auto-séchant prêt-à-l'emploi 200L - 0893025650;2,30%;Jaune;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Non;Rapport de consommation E-wash_1070133631_ALTIS VANNES;Rapport de consommation E-wash_1070133631_ALTIS VANNES;Ok;;
1070606487;GCA RENNES;0;27.10.2023;; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Rapports de consommation E-wash_1070606487_GCA RENNES;Rapports de consommation E-wash_1070606487_GCA RENNES;Pas de rapport;;
1070094841;ECA;SITE UNIQUE;21.11.2023;2;91100 CORBEIL-ESSONNES;Q221BE / Q2216C;23.10.2025;WNC 50 Nettoyant carrosserie 200L - 08904711;9,80%;Marron;Auto-séchant prêt-à-l'emploi 200L - 0893025650;0,70%;Rose;;;;;;WNC 50 Nettoyant carrosserie 200L - 08904711;9,80%;Marron;Auto-séchant prêt-à-l'emploi 200L - 0893025650;0,70%;Rose;;;;;;;;;;;;;;;;;;;;;;Non;Rapport de consommation E-wash_1070094841_ECA;Rapport de consommation E-wash_1070094841_ECA;Ok;;
1070989057;FAURIE APSO BOE;FAURIE;12.12.2023;1;47550 BOE;Q22173;21.10.2025;WNC 40 Nettoyant carrosserie 200L - 08904701;9,80%;Marron clair;Auto-séchant prêt-à-l'emploi 200L - 0893025650;2,30%;Jaune;;;;;;WNC 50 Nettoyant carrosserie 200L - 08904711;9,80%;Marron clair;;;;;;;;;;;;;;;;;;;;;;;;;Non;Rapports de consommation E-wash_1070989057_FAURIE APSO BOE;Rapports de consommation E-wash_1070989057_FAURIE APSO BOE;Ok;;
1070505129;FIX AUTO COLOMIERS;FIX AUTO;18.12.2023;1;31770 COLOMIERS;Q221CC;21.10.2025;WNC 40 Nettoyant carrosserie ultraconcentré 20 L - 089047020;1,05%;Rose;Auto-séchant ultraconcentré 20L - 0893025020;0,70%;Rose;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Non;Rapports de consommation E-wash_1070505129_FIX AUTO COLOMIERS;Rapports de consommation E-wash_1070505129_FIX AUTO COLOMIERS;Ok;;
1070555222;FIX AUTO MURET;FIX AUTO;18.12.2023;1;31600 MURET;Q2216A;21.10.2025;WNC 40 Nettoyant carrosserie ultraconcentré 20 L - 089047020;1,05%;Rose;Auto-séchant ultraconcentré 20L - 0893025020;2,30%;Jaune;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Non;Rapports de consommation E-wash_1070555222_FIX AUTO MURET;Rapports de consommation E-wash_1070555222_FIX AUTO MURET;Ok;;
1071105659;FIX AUTO LIBOURNE;FIX AUTO;18.12.2023;1;33500 LIBOURNE;Q221CB;21.10.2025;WNC 40 Nettoyant carrosserie ultraconcentré 20 L - 089047020;1,05%;Rose;Auto-séchant ultraconcentré 20L - 0893025020;0,70%;Rose;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Non;Rapports de consommation E-wash_1071105659_FIX AUTO LIBOURNE;Rapports de consommation E-wash_1071105659_FIX AUTO LIBOURNE;Ok;;
1070029802;FIX AUTO BORDEAUX;FIX AUTO;18.12.2023;1;33320 EYSINES;Q2217C;21.10.2025;WNC 40 Nettoyant carrosserie ultraconcentré 20 L - 089047020;1,05%;Rose;Auto-séchant ultraconcentré 20L - 0893025020;0,70%;Rose;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Non;Rapports de consommation E-wash_1070029802_FIX AUTO BORDEAUX;Rapports de consommation E-wash_1070029802_FIX AUTO BORDEAUX;Ok;;
1070280831;GARAGE PARIS BREST PROCUREUR;SITE UNIQUE;16.01.2024;1;28110 LUCÉ;Q221A4;10.12.2025;WNC 40 Nettoyant carrosserie ultraconcentré 20 L - 089047020;1,01%;Rose;Auto-séchant ultraconcentré 20L - 0893025020;0,70%;Rose;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Non;Rapport de consommation E-wash_1070280831_GARAGE PARIS BREST PROCUREUR;Rapport de consommation E-wash_1070280831_GARAGE PARIS BREST PROCUREUR;Ok;;
1071079275;FAURIE APSO ST AVIT;FAURIE;24.01.2024;1;41170 SAINT-AVIT;Q221B8;22.10.2025;WNC 40 Nettoyant carrosserie 200L - 08904701;11,60%;Bleue;Auto-séchant prêt-à-l'emploi 200L - 0893025650;2,40%;Marron foncé;;;;;;WNC 50 Nettoyant carrosserie 200L - 08904711;14,80%;Rouge;;;;;;;;;;;;;;;;;;;;;;;;;Non;Rapports de consommation E-wash_1071079275_FAURIE APSO ST AVIT;Rapports de consommation E-wash_1071079275_FAURIE APSO ST AVIT;Ok;;
1071079265;FAURIE APSO ST PIERRE;FAURIE;24.01.2024;1;40280 SAINT-PIERRE-DU-MONT;Q8003E;22.10.2025;WNC 40 Nettoyant carrosserie 200L - 08904701;11,60%;Bleue;Auto-séchant prêt-à-l'emploi 200L - 0893025650;0,70%;Rose;;;;;;WNC 50 Nettoyant carrosserie 200L - 08904711;14,80%;Rouge;;;;;;;;;;;;;;;;;;;;;;;;;Non;Rapports de consommation E-wash_1071079265_FAURIE APSO ST PIERRE;Rapports de consommation E-wash_1071079265_FAURIE APSO ST PIERRE;Ok;;
1070276661;TOUQUET AUTOMOBILES;0;16.02.2024;; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Rapports de consommation E-wash_1070276661_TOUQUET AUTOMOBILES;Rapports de consommation E-wash_1070276661_TOUQUET AUTOMOBILES;Pas de rapport;;
1070972131;TOUQUET AUTOMOBILES;0;16.02.2024;; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Rapports de consommation E-wash_1070972131_TOUQUET AUTOMOBILES;Rapports de consommation E-wash_1070972131_TOUQUET AUTOMOBILES;Pas de rapport;;
1071079277;FAURIE APSO ST PAUL;FAURIE;04.03.2024;1;40990 SAINT-PAUL-LES-DAX;Q221AC;22.10.2025;WNC 40 Nettoyant carrosserie ultraconcentré 20 L - 089047020;1,05%;Rose;Auto-séchant ultraconcentré 20L - 0893025020;0,70%;Rose;;;;;;WNC 50 Nettoyant carrosserie 200L - 08904711;11,60%;Bleue;;;;;;;;;;;;;;;;;;;;;;;;;Non;Rapports de consommation E-wash_1071079277_FAURIE APSO ST PAUL;Rapports de consommation E-wash_1071079277_FAURIE APSO ST PAUL;Ok;;
1070761966;VIKING AUTO BLET SA;VIKING;04.04.2024;2;76120 LE GRAND-QUEVILLY;Q221A7;15.10.2025;WNC 40 Nettoyant carrosserie ultraconcentré 20 L - 089047020;1,05%;Rose;Auto-séchant ultraconcentré 20L - 0893025020;0,70%;Rose;WNC 50 Nettoyant carrosserie 200L - 08904711;9,80%;Marron clair;;;WNC 40 Nettoyant carrosserie ultraconcentré 20 L - 089047020;1,05%;Rose;Auto-séchant ultraconcentré 20L - 0893025020;0,70%;Rose;WNC 50 Nettoyant carrosserie 200L - 08904711;9,80%;Marron clair;;;;;;;;;;;;;;;;;;;Non;Rapports de consommation E-wash_1070761966_VIKING AUTO BLET SA;Rapports de consommation E-wash_1070761966_VIKING AUTO BLET SA;Ok;;
1070761951;VIKING AUTO SA;VIKING;04.04.2024;1;76150 SAINT-JEAN-DU-CARDONNAY;Q221B3;15.10.2025;WNC 40 Nettoyant carrosserie ultraconcentré 20 L - 089047020;1,05%;Rose;Auto-séchant ultraconcentré 20L - 0893025020;0,70%;Rose;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Non;Rapports de consommation E-wash_1070761951_VIKING AUTO SA;Rapports de consommation E-wash_1070761951_VIKING AUTO SA;Ok;;
1071145108;JEANNIN AUTOMOBILES AVALON;JEANNIN;17.04.2024;1;89200 AVALON;Q2219D;24.09.2025;WNC 40 Nettoyant carrosserie ultraconcentré 20 L - 089047020;1,05%;Rose;Auto-séchant prêt-à-l'emploi 200L - 0893025650;0,70%;Rose;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Non;Rapports de consommation E-wash_1071145108_JEANNIN AUTOMOBILES AVALON;Rapports de consommation E-wash_1071145108_JEANNIN AUTOMOBILES AVALON;Ok;;
1070100557;JEANNIN AUTOMOBILES TROYES;JEANNIN;17.04.2024;1;10000 TROYES;Q221A0;08.12.2025;WNC 40 Nettoyant carrosserie ultraconcentré 20 L - 089047020;1,05%;Rose;Auto-séchant prêt-à-l'emploi 200L - 0893025650;0,70%;Rose;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Non;Rapports de consommation E-wash_1070100557_JEANNIN AUTOMOBILES TROYES;Rapports de consommation E-wash_1070100557_JEANNIN AUTOMOBILES TROYES;Ok;;
1070701179;JEANNIN AUTOMOBILES AUXERRE;JEANNIN;17.04.2024;1;89000 AUXERRE;Q2219A;18.09.2025;WNC 40 Nettoyant carrosserie ultraconcentré 20 L - 089047020;1,05%;Rose;Auto-séchant prêt-à-l'emploi 200L - 0893025650;0,70%;Rose;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Non;Rapports de consommation E-wash_1070701179_JEANNIN AUTOMOBILES AUXERRE;Rapports de consommation E-wash_1070701179_JEANNIN AUTOMOBILES AUXERRE;Ok;;
1070278349;MOZART AUTOS;0;13.05.2024;; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Rapports de consommation E-wash_1070278349_MOZART AUTOS;Rapports de consommation E-wash_1070278349_MOZART AUTOS;Pas de rapport;;
1070830813;BY MY CAR ROCQUEBRUNE;0;21.05.2024;; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Rapports de consommation E-wash_1070830813_BY MY CAR ROCQUEBRUNE;Rapports de consommation E-wash_1070830813_BY MY CAR ROCQUEBRUNE;Pas de rapport;;
1070170751;TECHSTAR OUEST BY AUTOSPHERE;AUTOSPHERE;23.05.2024;1;17138 PUILBOREAU;Q2216F;30.09.2025;WNC 40 Nettoyant carrosserie 200L - 08904701;9,80%;Marron clair;Auto-séchant prêt-à-l'emploi 200L - 0893025650;2,30%;Jaune;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Non;Rapports de consommation E-wash_1070170751_TECHSTAR OUEST BY AUTOSPHERE;Rapports de consommation E-wash_1070170751_TECHSTAR OUEST BY AUTOSPHERE;Ok;;
1070637246;OUEST MOTORS;OUEST;23.05.2024;1;22300 LANNION;Q221BD;01.10.2025;WNC 40 Nettoyant carrosserie 200L - 08904701;9,80%;Marron clair;Auto-séchant prêt-à-l'emploi 200L - 0893025650;2,30%;Jaune;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Non;Rapports de consommation E-wash_1070637246_OUEST MOTORS;Rapports de consommation E-wash_1070637246_OUEST MOTORS;Pas de rapport;;
1071030942;JEANNIN ADVANCED CAR SENS;JEANNIN;03.06.2024;1;89100 SENS;Q22197;23.09.2025;WNC 40 Nettoyant carrosserie ultraconcentré 20 L - 089047020;1,05%;Rose;Auto-séchant ultraconcentré 20L - 0893025020;0,70%;Rose;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Non;Rapports de consommation E-wash_1071030942_JEANNIN ADVANCED CAR SENS;Rapports de consommation E-wash_1071030942_JEANNIN ADVANCED CAR SENS;Ok;;
1070737203;JEANNIN ADVANCED CAR VSD;JEANNIN;03.06.2024;1;77240 VERT-SAINT-DENIS;Q221A2;23.10.2025;WNC 40 Nettoyant carrosserie ultraconcentré 20 L - 089047020;11,60%;Bleue;Auto-séchant ultraconcentré 20L - 0893025020;1,85%;Bleue turqoise;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Non;Rapports de consommation E-wash_1070737203_JEANNIN ADVANCED CAR VSD;Rapports de consommation E-wash_1070737203_JEANNIN ADVANCED CAR VSD;Ok;;
